date,geography,industry,characteristics,estimate
April 2021,Alberta,Accommodation and food services,Employment,98.300003
April 2021,Alberta,Accommodation and food services,Labour Force,111.9
April 2021,Alberta,Agriculture,Employment,36.700001
April 2021,Alberta,Agriculture,Labour Force,38
April 2021,Alberta,"Business, building and other support services",Employment,73.199997
April 2021,Alberta,"Business, building and other support services",Labour Force,82.5
April 2021,Alberta,Construction,Employment,216.89999
April 2021,Alberta,Construction,Labour Force,240.10001
April 2021,Alberta,Digital Economy,Employment,183.5
April 2021,Alberta,Digital Economy,Labour Force,189.89999
April 2021,Alberta,Educational services,Employment,172
April 2021,Alberta,Educational services,Labour Force,176.7
April 2021,Alberta,"Finance, insurance,",Employment,65.599998
April 2021,Alberta,"Finance, insurance,",Labour Force,65.699997
April 2021,Alberta,"Forestry, fishing,",Employment,0
April 2021,Alberta,"Forestry, fishing,",Labour Force,1.6
April 2021,Alberta,Health care and social assistance,Employment,308.20001
April 2021,Alberta,Health care and social assistance,Labour Force,310.60001
April 2021,Alberta,Information and Communication Technologies,Employment,89.5
April 2021,Alberta,Information and Communication Technologies,Labour Force,91.099998
April 2021,Alberta,"Information, culture and recreation",Employment,60
April 2021,Alberta,"Information, culture and recreation",Labour Force,67.699997
April 2021,Alberta,Manufacturing,Employment,126.3
April 2021,Alberta,Manufacturing,Labour Force,130.10001
April 2021,Alberta,"Mining, quarrying, oil and gas",Employment,132.39999
April 2021,Alberta,"Mining, quarrying, oil and gas",Labour Force,138.2
April 2021,Alberta,Other services,Employment,103.2
April 2021,Alberta,Other services,Labour Force,107.4
April 2021,Alberta,"Professional, scientific and technical services",Employment,183.60001
April 2021,Alberta,"Professional, scientific and technical services",Labour Force,188.60001
April 2021,Alberta,Public administration,Employment,97.199997
April 2021,Alberta,Public administration,Labour Force,97.300003
April 2021,Alberta,Real estate and leasing,Employment,50.5
April 2021,Alberta,Real estate and leasing,Labour Force,51.799999
April 2021,Alberta,"Total, all industries",Employment,2199.3999
April 2021,Alberta,"Total, all industries",Labour Force,2425.7
April 2021,Alberta,Trade,Employment,328
April 2021,Alberta,Trade,Labour Force,339.10001
April 2021,Alberta,Transportation and warehousing,Employment,121.4
April 2021,Alberta,Transportation and warehousing,Labour Force,127.7
April 2021,Alberta,Utilities,Employment,24.6
April 2021,Alberta,Utilities,Labour Force,25.299999
April 2021,British Columbia,Accommodation and food services,Employment,155
April 2021,British Columbia,Accommodation and food services,Labour Force,169.10001
April 2021,British Columbia,Agriculture,Employment,22
April 2021,British Columbia,Agriculture,Labour Force,24.299999
April 2021,British Columbia,"Business, building and other support services",Employment,110.9
April 2021,British Columbia,"Business, building and other support services",Labour Force,113.5
April 2021,British Columbia,Construction,Employment,216.89999
April 2021,British Columbia,Construction,Labour Force,232.5
April 2021,British Columbia,Digital Economy,Employment,325
April 2021,British Columbia,Digital Economy,Labour Force,329.89999
April 2021,British Columbia,Educational services,Employment,191.89999
April 2021,British Columbia,Educational services,Labour Force,193.60001
April 2021,British Columbia,"Finance, insurance,",Employment,108.3
April 2021,British Columbia,"Finance, insurance,",Labour Force,110
April 2021,British Columbia,"Forestry, fishing,",Employment,25.4
April 2021,British Columbia,"Forestry, fishing,",Labour Force,28.6
April 2021,British Columbia,Health care and social assistance,Employment,349.39999
April 2021,British Columbia,Health care and social assistance,Labour Force,356.70001
April 2021,British Columbia,Information and Communication Technologies,Employment,171.60001
April 2021,British Columbia,Information and Communication Technologies,Labour Force,174
April 2021,British Columbia,"Information, culture and recreation",Employment,113.6
April 2021,British Columbia,"Information, culture and recreation",Labour Force,125
April 2021,British Columbia,Manufacturing,Employment,178.89999
April 2021,British Columbia,Manufacturing,Labour Force,185.8
April 2021,British Columbia,"Mining, quarrying, oil and gas",Employment,28.6
April 2021,British Columbia,"Mining, quarrying, oil and gas",Labour Force,30.9
April 2021,British Columbia,Other services,Employment,107
April 2021,British Columbia,Other services,Labour Force,108.7
April 2021,British Columbia,"Professional, scientific and technical services",Employment,262.5
April 2021,British Columbia,"Professional, scientific and technical services",Labour Force,264.10001
April 2021,British Columbia,Public administration,Employment,129.3
April 2021,British Columbia,Public administration,Labour Force,131.2
April 2021,British Columbia,Real estate and leasing,Employment,57.599998
April 2021,British Columbia,Real estate and leasing,Labour Force,58.299999
April 2021,British Columbia,"Total, all industries",Employment,2599.3
April 2021,British Columbia,"Total, all industries",Labour Force,2795.3
April 2021,British Columbia,Trade,Employment,389.20001
April 2021,British Columbia,Trade,Labour Force,405
April 2021,British Columbia,Transportation and warehousing,Employment,132.39999
April 2021,British Columbia,Transportation and warehousing,Labour Force,136.3
April 2021,British Columbia,Utilities,Employment,20.299999
April 2021,British Columbia,Utilities,Labour Force,20.5
April 2021,Canada,Accommodation and food services,Employment,847.5
April 2021,Canada,Accommodation and food services,Labour Force,961.5
April 2021,Canada,Agriculture,Employment,254.8
April 2021,Canada,Agriculture,Labour Force,268.29999
April 2021,Canada,"Business, building and other support services",Employment,681.40002
April 2021,Canada,"Business, building and other support services",Labour Force,736
April 2021,Canada,Construction,Employment,1384.6
April 2021,Canada,Construction,Labour Force,1505.2
April 2021,Canada,Digital Economy,Employment,2003.6
April 2021,Canada,Digital Economy,Labour Force,2063.8999
April 2021,Canada,Educational services,Employment,1482.1
April 2021,Canada,Educational services,Labour Force,1522.5
April 2021,Canada,"Finance, insurance,",Employment,933.70001
April 2021,Canada,"Finance, insurance,",Labour Force,943.79999
April 2021,Canada,"Forestry, fishing,",Employment,70.800003
April 2021,Canada,"Forestry, fishing,",Labour Force,87.400002
April 2021,Canada,Health care and social assistance,Employment,2532.5
April 2021,Canada,Health care and social assistance,Labour Force,2577.6001
April 2021,Canada,Information and Communication Technologies,Employment,990.59998
April 2021,Canada,Information and Communication Technologies,Labour Force,1020.2
April 2021,Canada,"Information, culture and recreation",Employment,657.5
April 2021,Canada,"Information, culture and recreation",Labour Force,719.09998
April 2021,Canada,Manufacturing,Employment,1732.8
April 2021,Canada,Manufacturing,Labour Force,1841.4
April 2021,Canada,"Mining, quarrying, oil and gas",Employment,245.10001
April 2021,Canada,"Mining, quarrying, oil and gas",Labour Force,259.60001
April 2021,Canada,Other services,Employment,745.40002
April 2021,Canada,Other services,Labour Force,780.09998
April 2021,Canada,"Professional, scientific and technical services",Employment,1639.2
April 2021,Canada,"Professional, scientific and technical services",Labour Force,1678.6
April 2021,Canada,Public administration,Employment,1034.2
April 2021,Canada,Public administration,Labour Force,1046.8
April 2021,Canada,Real estate and leasing,Employment,358.20001
April 2021,Canada,Real estate and leasing,Labour Force,371.79999
April 2021,Canada,"Total, all industries",Employment,18427.1
April 2021,Canada,"Total, all industries",Labour Force,20115.699
April 2021,Canada,Trade,Employment,2733.8
April 2021,Canada,Trade,Labour Force,2885.2
April 2021,Canada,Transportation and warehousing,Employment,951.79999
April 2021,Canada,Transportation and warehousing,Labour Force,1010.3
April 2021,Canada,Utilities,Employment,141.5
April 2021,Canada,Utilities,Labour Force,143.2
April 2021,Manitoba,Accommodation and food services,Employment,32
April 2021,Manitoba,Accommodation and food services,Labour Force,35.400002
April 2021,Manitoba,Agriculture,Employment,23.700001
April 2021,Manitoba,Agriculture,Labour Force,24.9
April 2021,Manitoba,"Business, building and other support services",Employment,21.1
April 2021,Manitoba,"Business, building and other support services",Labour Force,24.1
April 2021,Manitoba,Construction,Employment,47
April 2021,Manitoba,Construction,Labour Force,50.599998
April 2021,Manitoba,Digital Economy,Employment,46.900002
April 2021,Manitoba,Digital Economy,Labour Force,48.200001
April 2021,Manitoba,Educational services,Employment,61.700001
April 2021,Manitoba,Educational services,Labour Force,63.299999
April 2021,Manitoba,"Finance, insurance,",Employment,26.299999
April 2021,Manitoba,"Finance, insurance,",Labour Force,26.700001
April 2021,Manitoba,"Forestry, fishing,",Employment,.80000001
April 2021,Manitoba,"Forestry, fishing,",Labour Force,.89999998
April 2021,Manitoba,Health care and social assistance,Employment,104.4
April 2021,Manitoba,Health care and social assistance,Labour Force,106.1
April 2021,Manitoba,Information and Communication Technologies,Employment,16.1
April 2021,Manitoba,Information and Communication Technologies,Labour Force,17.200001
April 2021,Manitoba,"Information, culture and recreation",Employment,19.1
April 2021,Manitoba,"Information, culture and recreation",Labour Force,22
April 2021,Manitoba,Manufacturing,Employment,65.199997
April 2021,Manitoba,Manufacturing,Labour Force,67.800003
April 2021,Manitoba,"Mining, quarrying, oil and gas",Employment,2.9000001
April 2021,Manitoba,"Mining, quarrying, oil and gas",Labour Force,3
April 2021,Manitoba,Other services,Employment,30
April 2021,Manitoba,Other services,Labour Force,31
April 2021,Manitoba,"Professional, scientific and technical services",Employment,32.799999
April 2021,Manitoba,"Professional, scientific and technical services",Labour Force,33.799999
April 2021,Manitoba,Public administration,Employment,36.200001
April 2021,Manitoba,Public administration,Labour Force,36.799999
April 2021,Manitoba,Real estate and leasing,Employment,8.6000004
April 2021,Manitoba,Real estate and leasing,Labour Force,8.8000002
April 2021,Manitoba,"Total, all industries",Employment,652.40002
April 2021,Manitoba,"Total, all industries",Labour Force,705.5
April 2021,Manitoba,Trade,Employment,95.199997
April 2021,Manitoba,Trade,Labour Force,99.5
April 2021,Manitoba,Transportation and warehousing,Employment,40.799999
April 2021,Manitoba,Transportation and warehousing,Labour Force,42.700001
April 2021,Manitoba,Utilities,Employment,4.8000002
April 2021,Manitoba,Utilities,Labour Force,4.8000002
April 2021,New Brunswick,Accommodation and food services,Employment,20.5
April 2021,New Brunswick,Accommodation and food services,Labour Force,21.5
April 2021,New Brunswick,Agriculture,Employment,5.3000002
April 2021,New Brunswick,Agriculture,Labour Force,6.1999998
April 2021,New Brunswick,"Business, building and other support services",Employment,14.6
April 2021,New Brunswick,"Business, building and other support services",Labour Force,15.8
April 2021,New Brunswick,Construction,Employment,19
April 2021,New Brunswick,Construction,Labour Force,25.700001
April 2021,New Brunswick,Digital Economy,Employment,27
April 2021,New Brunswick,Digital Economy,Labour Force,29
April 2021,New Brunswick,Educational services,Employment,28.9
April 2021,New Brunswick,Educational services,Labour Force,29.5
April 2021,New Brunswick,"Finance, insurance,",Employment,12.4
April 2021,New Brunswick,"Finance, insurance,",Labour Force,12.6
April 2021,New Brunswick,"Forestry, fishing,",Employment,4.8000002
